Unnamed: 0,Formula,Composto,Ant (A),Ant (B),Ant (C),Max,Min
238.0,C6H5Br,bromobenzene,"15,7972","3313,00","-67,71",450.0,320.0
239.0,C6H5Cl,chlorobenzene,"16,0676","3295,12","-55,60",420.0,320.0
240.0,C6H5F,fluorobenzene,"16,5487","3181,78","-37,59",370.0,250.0
241.0,C6H5I,iodobenzene,"16,1454","3776,53","-64,38",470.0,290.0
242.0,C6H6,benzene,"15,9008","2788,51","-52,36",377.0,280.0
243.0,C6H6O,phenol,"16,4279","3490,89","-98,59",481.0,345.0
244.0,C6H7N,aniline,"16,6748","3857,52","-73,15",500.0,340.0
245.0,C6H7N,4-methyl pyridine,"16,2143","3404,40","-62,65",460.0,300.0
246.0,C6H10,"1,5 hexadiene","16,1351","2728,54","-45,45",350.0,282.0
247.0,C6H10,cyclohexene,"15,8243","2813,53","-49,98",360.0,300.0
249.0,C6H12,ciclohexane,"15,7527","2766,63","-50,50",380.0,280.0
250.0,C6H12,methylcyclopentane,"15,8023","2731,00","-47,11",375.0,250.0
251.0,C6H12,1-hexene,"15,8089","2654,81","-47,30",360.0,240.0
252.0,C6H12,cis-2-hexene,"16,2057","2897,97","-39,30",370.0,245.0
253.0,C6H12,trans-2-hexene,"15,8727","2701,72","-48,62",365.0,245.0
254.0,C6H12,cis-3-hexene,"15,8384","2680,52","-48,40",365.0,245.0
255.0,C6H12,trans-3-hexene,"15,9288","2718,68","-47,77",365.0,245.0
256.0,C6H12,2-methyl-2-pentene,"15,9423","2725,89","-47,64",370.0,245.0
257.0,C6H12,3-methyl-cis-2-pentene,"15,9124","2731,79","-46,47",364.0,248.0
258.0,C6H12,3-methyl-trans-2-pentene,"15,9484","2750,50","-48,33",366.0,250.0
259.0,C6H12,4-methyl-cis-2-pentene,"15,7527","2580,52","-46,56",352.0,238.0
260.0,C6H12,4-methyl-trans-2-pentene,"15,8425","2631,57","-46,00",354.0,240.0
261.0,C6H12,"2,3 dimethyl-1-butene","15,8012","2612,69","-43,78",360.0,235.0
